,FoodItem,Raw_Foodcategory,Standard_Food_Category,Energy,Fat,Carb,Sugar,Protein,Sodium,Fiber,Saturated,Trans-Fats,Monounsaturated,Polyunsaturated,Cholesterol,Calcium,Magnesium,Potassium,Iron,Zinc,Phosphorus,Vitamin A,Vitamin C,Vitamin B1 (Thiamine),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B9 (Folic Acid),Vitamin B12 (Cobalamin),Vitamin D,Vitamin E (Alpha Tocopherol),Vitamin K
0,Cholay (Curried Chickpeas) || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",202.33 (kcal/24 H),7.89 (gm),26.72 (gm),3.25 (gm),8.4 (gm),414.74 (mg),8.23 (gm),0.99 (gm),0.0 (gm),2.72 (gm),3.31 (gm),0.0 (mg),84.12 (mg),55.89 (mg),445.64 (mg),2.69 (mg),1.26 (mg),149.23 (mg),217.99 (ug),12.01 (mg),0.09 (mg),0.04 (mg),0.67 (mg),0.8 (mg),53.85 (ug),0.0 (ug),0.0 (ug),1.04 (mg),12.93 (ug)
0,Chicken Curry (Murgh Kari) || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",415.4 (kcal/24 H),24.6 (gm),12.76 (gm),6.71 (gm),37.4 (gm),1392.79 (mg),3.0 (gm),3.14 (gm),0.02 (gm),12.32 (gm),7.51 (gm),115.68 (mg),107.74 (mg),72.15 (mg),879.02 (mg),2.48 (mg),1.64 (mg),403.31 (mg),114.55 (ug),10.81 (mg),0.22 (mg),0.39 (mg),15.55 (mg),1.4 (mg),34.19 (ug),0.47 (ug),0.02 (ug),2.15 (mg),5.83 (ug)
0,Vegetarian Korma || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",451.5 (kcal/24 H),30.1 (gm),40.91 (gm),10.91 (gm),8.64 (gm),1406.35 (mg),8.66 (gm),15.07 (gm),0.74 (gm),9.31 (gm),3.83 (gm),67.26 (mg),118.58 (mg),78.05 (mg),1058.26 (mg),3.03 (mg),1.53 (mg),210.18 (mg),3893.9 (ug),73.22 (mg),0.29 (mg),0.29 (mg),3.18 (mg),0.67 (mg),74.75 (ug),0.1 (ug),0.94 (ug),3.23 (mg),59.91 (ug)
0,Punjabi Chicken In Thick Gravy || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",472.51 (kcal/24 H),20.8 (gm),4.81 (gm),1.37 (gm),63.3 (gm),609.41 (mg),1.2 (gm),5.94 (gm),0.05 (gm),7.19 (gm),4.76 (gm),304.85 (mg),56.65 (mg),84.06 (mg),915.45 (mg),3.81 (mg),5.89 (mg),604.47 (mg),107.96 (ug),4.52 (mg),0.3 (mg),0.6 (mg),18.41 (mg),1.39 (mg),18.99 (ug),1.86 (ug),0.08 (ug),1.25 (mg),16.5 (ug)
0,Palak Paneer || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",458.68 (kcal/24 H),36.7 (gm),24.06 (gm),4.51 (gm),16.32 (gm),586.32 (mg),9.62 (gm),10.88 (gm),0.49 (gm),19.04 (gm),3.6 (gm),48.46 (mg),534.3 (mg),300.92 (mg),2285.07 (mg),11.21 (mg),2.57 (mg),318.96 (mg),10038.36 (ug),102.8 (mg),0.33 (mg),0.94 (mg),3.2 (mg),0.86 (mg),672.7 (ug),0.52 (ug),0.0 (ug),11.51 (mg),1668.74 (ug)
0,Shahi Paneer || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",320.39 (kcal/24 H),25.65 (gm),12.44 (gm),7.27 (gm),12.34 (gm),643.81 (mg),2.46 (gm),10.89 (gm),0.45 (gm),8.95 (gm),3.42 (gm),55.65 (mg),302.95 (mg),23.11 (mg),463.0 (mg),1.21 (mg),0.41 (mg),57.91 (mg),469.51 (ug),20.19 (mg),0.07 (mg),0.06 (mg),0.87 (mg),0.18 (mg),24.89 (ug),0.03 (ug),0.09 (ug),0.98 (mg),12.27 (ug)
0,Rahma (Black Beans And Tomatoes) || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",126.56 (kcal/24 H),0.53 (gm),23.6 (gm),3.0 (gm),7.6 (gm),441.38 (mg),8.55 (gm),0.11 (gm),0.0 (gm),0.12 (gm),0.21 (gm),0.0 (mg),79.68 (mg),41.25 (mg),562.91 (mg),2.83 (mg),0.66 (mg),123.61 (mg),191.69 (ug),12.8 (mg),0.16 (mg),0.14 (mg),0.78 (mg),0.09 (mg),66.21 (ug),0.0 (ug),0.0 (ug),0.96 (mg),3.23 (ug)
0,Paneer Butter Masala || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",358.44 (kcal/24 H),23.52 (gm),26.75 (gm),3.97 (gm),13.48 (gm),753.24 (mg),2.5 (gm),11.59 (gm),0.45 (gm),6.96 (gm),1.54 (gm),53.56 (mg),311.78 (mg),76.29 (mg),799.77 (mg),2.06 (mg),0.95 (mg),104.64 (mg),197.38 (ug),32.74 (mg),0.05 (mg),0.08 (mg),0.96 (mg),0.24 (mg),17.99 (ug),0.02 (ug),0.08 (ug),0.68 (mg),4.92 (ug)
0,Matar Paneer || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",355.08 (kcal/24 H),27.79 (gm),13.8 (gm),5.66 (gm),14.54 (gm),684.54 (mg),3.92 (gm),10.1 (gm),0.5 (gm),9.34 (gm),5.5 (gm),43.06 (mg),331.04 (mg),36.14 (mg),339.9 (mg),1.81 (mg),0.83 (mg),75.91 (mg),291.58 (ug),21.25 (mg),0.12 (mg),0.08 (mg),1.07 (mg),0.14 (mg),33.18 (ug),0.0 (ug),0.0 (ug),1.81 (mg),29.71 (ug)
0,Kadai Paneer || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",393.35 (kcal/24 H),29.46 (gm),19.33 (gm),7.5 (gm),15.24 (gm),766.68 (mg),7.38 (gm),10.19 (gm),0.5 (gm),8.77 (gm),6.37 (gm),43.06 (mg),348.04 (mg),28.69 (mg),493.43 (mg),3.26 (mg),0.41 (mg),53.06 (mg),429.69 (ug),72.02 (mg),0.08 (mg),0.05 (mg),0.94 (mg),0.21 (mg),25.66 (ug),0.0 (ug),0.0 (ug),1.97 (mg),25.6 (ug)
0,Malai Kofta || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",1021.34 (kcal/24 H),74.72 (gm),73.43 (gm),6.49 (gm),28.49 (gm),626.03 (mg),10.56 (gm),17.23 (gm),0.29 (gm),34.53 (gm),17.34 (gm),30.39 (mg),319.94 (mg),300.97 (mg),1732.4 (mg),8.98 (mg),5.64 (mg),561.0 (mg),295.77 (ug),40.77 (mg),0.48 (mg),0.35 (mg),4.45 (mg),1.05 (mg),94.35 (ug),0.01 (ug),0.03 (ug),4.01 (mg),43.12 (ug)
0,Veg Manchurian || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",183.61 (kcal/24 H),9.76 (gm),22.79 (gm),6.24 (gm),2.96 (gm),1003.57 (mg),2.69 (gm),1.35 (gm),0.0 (gm),3.96 (gm),4.01 (gm),0.0 (mg),51.64 (mg),25.74 (mg),331.22 (mg),1.31 (mg),0.39 (mg),56.78 (mg),1130.65 (ug),92.94 (mg),0.12 (mg),0.12 (mg),1.36 (mg),0.26 (mg),46.23 (ug),0.0 (ug),0.0 (ug),1.86 (mg),51.9 (ug)
0,Methi Matar Malai || JHDB,"Sabzis, Dals & Curries","Sabzis, Dals & Curries",195.32 (kcal/24 H),16.5 (gm),9.63 (gm),3.78 (gm),4.11 (gm),220.25 (mg),1.85 (gm),7.8 (gm),0.19 (gm),5.62 (gm),1.25 (gm),34.07 (mg),62.77 (mg),41.74 (mg),257.0 (mg),1.71 (mg),0.89 (mg),106.98 (mg),147.12 (ug),15.22 (mg),0.12 (mg),0.17 (mg),0.82 (mg),0.1 (mg),22.5 (ug),0.04 (ug),0.33 (ug),0.17 (mg),23.2 (ug)
